city,year,tavg,tmin,tmax,prcp
Chennai_1990_2022_Madras,2013,28.310136986301373,24.167355371900825,34.074285714285715,975.9
Chennai_1990_2022_Madras,2014,28.566301369863016,24.243229166666666,34.290361445783134,1166.3
Chennai_1990_2022_Madras,2015,28.93013698630137,24.106230529595017,34.397999999999996,2428.5
Chennai_1990_2022_Madras,2016,29.127322404371586,24.367671232876713,34.471866295264626,1208.9
Chennai_1990_2022_Madras,2017,29.300821917808218,24.42986301369863,34.484022038567495,1473.2
Chennai_1990_2022_Madras,2018,29.39068493150685,24.761369863013698,34.29944444444444,900.4
Chennai_1990_2022_Madras,2019,29.78904109589041,25.037534246575344,34.8013698630137,1288.8999999999999
Chennai_1990_2022_Madras,2020,29.083333333333332,24.89207650273224,33.98087431693989,1488.9
Chennai_1990_2022_Madras,2021,27.8813698630137,24.445479452054794,32.6958904109589,1696.2
Chennai_1990_2022_Madras,2022,28.35631067961165,24.60097087378641,33.314563106796115,357.8
Delhi_NCR_1990_2022_Safdarjung,1990,24.755587392550144,19.578599221789883,31.268874172185434,669.6
Delhi_NCR_1990_2022_Safdarjung,1991,24.77893258426966,19.273745173745173,31.972012578616354,612.0
Delhi_NCR_1990_2022_Safdarjung,1992,24.065273311897105,16.79951923076923,30.505555555555553,349.0
Delhi_NCR_1990_2022_Safdarjung,1993,24.824242424242428,18.444012944983818,31.52231884057971,794.6999999999999
Delhi_NCR_1990_2022_Safdarjung,1994,24.693905817174514,18.558631921824105,31.210089020771512,894.6
Delhi_NCR_1990_2022_Safdarjung,1995,24.96565934065934,18.81446540880503,31.238483146067416,823.9
Delhi_NCR_1990_2022_Safdarjung,1996,24.320765027322402,17.94533762057878,31.045244956772336,997.1999999999999
Delhi_NCR_1990_2022_Safdarjung,1997,23.58712328767123,17.77162162162162,29.786337209302324,463.0
Delhi_NCR_1990_2022_Safdarjung,1998,24.534520547945206,18.837666666666667,31.009037900874638,830.6
Delhi_NCR_1990_2022_Safdarjung,1999,24.974033149171273,18.880479452054796,31.883384615384617,288.3
Delhi_NCR_1990_2022_Safdarjung,2000,24.769672131147544,18.60677966101695,31.375216138328533,543.3
Delhi_NCR_1990_2022_Safdarjung,2001,24.52417582417582,18.410666666666668,31.426780626780626,409.7
Delhi_NCR_1990_2022_Safdarjung,2002,25.329395604395604,19.298095238095236,32.220285714285716,526.9
Delhi_NCR_1990_2022_Safdarjung,2003,24.373698630136985,18.626490066225166,30.88795518207283,960.7
Delhi_NCR_1990_2022_Safdarjung,2004,25.155464480874315,19.0384375,31.761731843575422,493.8
Delhi_NCR_1990_2022_Safdarjung,2005,24.754520547945205,18.56339285714286,31.665266106442576,577.8
Delhi_NCR_1990_2022_Safdarjung,2006,25.42054794520548,18.971940298507462,32.293575418994415,485.3
Delhi_NCR_1990_2022_Safdarjung,2007,24.830958904109586,18.805228758169932,31.645915492957744,483.40000000000003
Delhi_NCR_1990_2022_Safdarjung,2008,24.55191256830601,18.696825396825396,31.520221606648196,759.6
Delhi_NCR_1990_2022_Safdarjung,2009,25.403013698630136,19.31094224924012,32.479608938547486,451.0
Delhi_NCR_1990_2022_Safdarjung,2010,25.601101928374657,20.088509316770185,32.23258426966292,876.9
Delhi_NCR_1990_2022_Safdarjung,2011,24.7558904109589,18.8765243902439,31.675070028011206,530.4
Delhi_NCR_1990_2022_Safdarjung,2012,24.933879781420764,18.896573208722742,31.96501377410468,553.4
Delhi_NCR_1990_2022_Safdarjung,2013,24.85698630136986,18.705059523809524,31.74277777777778,989.9
Delhi_NCR_1990_2022_Safdarjung,2014,24.944109589041098,18.665957446808513,31.994722222222222,255.6
Delhi_NCR_1990_2022_Safdarjung,2015,25.242465753424657,19.051234567901236,31.98130311614731,721.1
Delhi_NCR_1990_2022_Safdarjung,2016,26.86448087431694,19.85509641873278,33.46620879120879,457.9
Delhi_NCR_1990_2022_Safdarjung,2017,26.10082191780822,19.45524861878453,33.18370165745856,542.5
Delhi_NCR_1990_2022_Safdarjung,2018,25.499452054794517,19.10415512465374,32.90247933884297,761.3
Delhi_NCR_1990_2022_Safdarjung,2019,25.592876712328767,19.02,31.954794520547946,544.9
Delhi_NCR_1990_2022_Safdarjung,2020,24.910109289617488,18.090983606557376,31.99262295081967,789.1999999999999
Delhi_NCR_1990_2022_Safdarjung,2021,25.070958904109588,19.16328767123288,31.894520547945206,1253.4
Delhi_NCR_1990_2022_Safdarjung,2022,26.311165048543693,20.3995145631068,33.227184466019416,383.0
Lucknow_1990_2022,1990,24.738317757009344,16.764705882352942,32.371929824561406,917.5
Lucknow_1990_2022,1991,24.821005917159763,18.01837837837838,33.05377358490566,840.3
Lucknow_1990_2022,1992,24.83939393939394,18.078534031413614,32.8933908045977,555.3
Lucknow_1990_2022,1993,24.616298342541437,17.767080745341616,32.87270114942529,957.8
Lucknow_1990_2022,1994,24.81218836565097,18.81336405529954,33.001714285714286,778.7
Lucknow_1990_2022,1995,25.272988505747126,17.509278350515466,33.147147147147145,375.6
Lucknow_1990_2022,1996,25.06300578034682,19.0972972972973,32.42349206349206,476.4
Lucknow_1990_2022,1997,24.54532967032967,18.35,31.68258258258258,777.1
Lucknow_1990_2022,1998,25.025068870523416,18.53392857142857,32.2717791411043,1206.4
Lucknow_1990_2022,1999,25.465650969529086,18.70731707317073,33.18338461538462,591.3
Lucknow_1990_2022,2000,24.83224043715847,18.896296296296295,32.694224924012154,1105.2
Lucknow_1990_2022,2001,24.972176308539943,18.627062706270628,32.65014492753623,659.6
Lucknow_1990_2022,2002,25.83481894150418,18.81762711864407,33.1594427244582,571.0
Lucknow_1990_2022,2003,25.09285714285714,19.094604316546764,32.36829268292683,731.6
Lucknow_1990_2022,2004,25.182513661202183,19.08737201365188,32.67411764705883,667.0
Lucknow_1990_2022,2005,25.618356164383563,19.058307210031348,33.437999999999995,623.1
Lucknow_1990_2022,2006,25.629589041095887,18.83726708074534,33.56329479768786,709.2
Lucknow_1990_2022,2007,25.163013698630138,18.154777070063695,32.64797687861272,537.6
Lucknow_1990_2022,2008,24.74234972677596,18.542765273311897,32.04494382022472,1776.5
Lucknow_1990_2022,2009,25.576712328767123,18.856913183279744,33.02550724637681,905.1
Lucknow_1990_2022,2010,25.692876712328765,19.22871287128713,32.80396600566572,759.4
Lucknow_1990_2022,2011,24.683561643835617,18.25663430420712,31.795156695156695,856.5
Lucknow_1990_2022,2012,25.058196721311475,17.67603550295858,32.41623188405797,868.9
Lucknow_1990_2022,2013,24.683013698630134,17.55161290322581,31.916379310344826,813.7
Lucknow_1990_2022,2014,25.31095890410959,16.918639053254438,28.91924882629108,708.3
Lucknow_1990_2022,2015,25.96931506849315,19.28774834437086,30.34300518134715,577.0
Lucknow_1990_2022,2016,26.175482093663913,19.151242236024846,33.685561497326205,754.8
Lucknow_1990_2022,2017,26.132417582417585,19.567259786476868,32.63066666666667,804.5
Lucknow_1990_2022,2018,25.77178082191781,19.292405063291138,31.789655172413795,1164.6
Lucknow_1990_2022,2019,25.108493150684932,19.916190476190476,32.39181818181818,953.5
Lucknow_1990_2022,2020,24.630874316939888,19.73276353276353,31.959714285714284,923.9
Lucknow_1990_2022,2021,25.19068493150685,20.2413698630137,31.81068493150685,867.7
Lucknow_1990_2022,2022,26.538349514563105,21.067961165048544,33.195631067961166,228.6
Mumbai_1990_2022_Santacruz,1990,27.076944444444447,22.64755700325733,31.846839080459773,2597.4
Mumbai_1990_2022_Santacruz,1991,26.93379120879121,22.299694189602448,31.90684523809524,2190.5
Mumbai_1990_2022_Santacruz,1992,27.109836065573774,22.729545454545455,32.07155172413793,1913.8
Mumbai_1990_2022_Santacruz,1993,27.17554945054945,22.850342465753425,31.945103857566764,2397.9
Mumbai_1990_2022_Santacruz,1994,26.939118457300275,22.393037974683544,31.8568115942029,2455.1
Mumbai_1990_2022_Santacruz,1995,27.254395604395604,22.68422712933754,32.38994413407821,1728.4
Mumbai_1990_2022_Santacruz,1996,27.636612021857925,22.496405228758167,32.41015625,2114.9
Mumbai_1990_2022_Santacruz,1997,27.657808219178083,21.671255060728747,31.646067415730336,1854.0
Mumbai_1990_2022_Santacruz,1998,27.746575342465754,22.52633744855967,32.33183856502242,2546.0
Mumbai_1990_2022_Santacruz,1999,27.651373626373626,22.496323529411764,32.166932270916334,1714.7
Mumbai_1990_2022_Santacruz,2000,27.609016393442623,22.08452830188679,32.44132841328413,2238.5
Mumbai_1990_2022_Santacruz,2001,27.256438356164384,21.893574297188756,32.43899613899614,1898.7
Mumbai_1990_2022_Santacruz,2002,27.81945205479452,23.157416267942583,33.04120879120879,1271.4
Mumbai_1990_2022_Santacruz,2003,27.463287671232877,23.00398009950249,32.2261780104712,2231.2000000000003
Mumbai_1990_2022_Santacruz,2004,27.003005464480875,22.596739130434784,32.486693548387095,2121.4
Mumbai_1990_2022_Santacruz,2005,27.358082191780824,21.807142857142857,32.306872852233674,2819.2999999999997
Mumbai_1990_2022_Santacruz,2006,27.35561643835616,21.986590038314176,32.623684210526314,2927.8
Mumbai_1990_2022_Santacruz,2007,28.023835616438358,22.732517482517483,32.736451612903224,2293.2999999999997
Mumbai_1990_2022_Santacruz,2008,27.748360655737702,21.954889589905363,32.26967741935484,2722.1
Mumbai_1990_2022_Santacruz,2009,28.33479452054795,22.845047923322685,32.730599369085176,2242.8
Mumbai_1990_2022_Santacruz,2010,28.16191780821918,23.187171052631577,32.58148148148148,3357.4
